,FIPS,Tot_tile_drained_acres,Tot_crop_acres,Frac_tile_drained
0,1001.0,2237.0,36890.0,0.06063973976687449
1,1011.0,292.0,19969.0,0.014622665130952978
2,1047.0,1560.0,76697.0,0.02033977860933283
3,1051.0,954.0,34857.0,0.027368964626904208
4,1065.0,385.0,20732.0,0.01857032606598495
5,1087.0,214.0,40813.0,0.005243427339328155
6,1091.0,2290.0,28043.0,0.08166030738508719
7,1101.0,546.0,56953.0,0.009586852316822643
8,1105.0,800.0,41229.0,0.019403817701132697
9,1119.0,206.0,31110.0,0.00662166505946641
10,1003.0,391.0,110438.0,0.00354044803419113
11,1013.0,285.0,17717.0,0.0160862448495795
12,1053.0,427.0,55335.0,0.007716635041113219
13,1097.0,23.0,37655.0,0.0006108086575487983
14,1099.0,553.0,42062.0,0.013147258808425658
15,1129.0,711.0,22306.0,0.03187483188379808
16,1131.0,260.0,26871.0,0.009675858732462506
17,1009.0,232.0,43793.0,0.00529765030941018
18,1015.0,108.0,28470.0,0.0037934668071654375
19,1019.0,384.0,72801.0,0.005274652820703012
20,1029.0,366.0,8949.0,0.04089842440496145
21,1043.0,597.0,60878.0,0.009806498242386412
22,1049.0,1450.0,91495.0,0.01584786053882726
23,1055.0,209.0,24753.0,0.00844342099947481
24,1071.0,3755.0,95474.0,0.03933007939334269
25,1095.0,845.0,44894.0,0.018822114313716755
26,1115.0,1035.0,14424.0,0.07175540765391016
27,1033.0,330.0,85790.0,0.0038466021680848583
28,1059.0,248.0,32410.0,0.007651959271829682
29,1077.0,1227.0,108970.0,0.011259979810957145
30,1079.0,3041.0,120799.0,0.025174049454051772
31,1083.0,2989.0,151108.0,0.01978055430552982
32,1089.0,9036.0,131529.0,0.06869967839791985
33,1093.0,714.0,20310.0,0.035155096011816836
34,1103.0,932.0,45885.0,0.02031164868693473
35,1017.0,83.0,12486.0,0.006647445138555182
36,1021.0,1216.0,21995.0,0.055285292111843604
37,1057.0,97.0,20950.0,0.004630071599045346
38,1075.0,159.0,12006.0,0.013243378310844578
39,1107.0,272.0,27117.0,0.010030608105616403
40,1111.0,312.0,19723.0,0.015819094458246717
41,1117.0,392.0,26226.0,0.014946999161137802
42,1121.0,154.0,29984.0,0.00513607257203842
43,1123.0,51.0,8540.0,0.005971896955503513
44,1127.0,123.0,15954.0,0.0077096652877021435
45,1005.0,2469.0,37304.0,0.06618593180355994
46,1031.0,1581.0,64258.0,0.024603940365401974
47,1039.0,1089.0,54263.0,0.020068923575917292
48,1041.0,259.0,23616.0,0.010967140921409215
49,1045.0,2244.0,52506.0,0.04273797280310822
50,1061.0,2810.0,81700.0,0.034394124847001224
51,1067.0,4773.0,74181.0,0.06434262142597161
52,1069.0,1918.0,85934.0,0.022319454465054577
53,1109.0,1030.0,40591.0,0.02537508314651031
54,1113.0,717.0,31151.0,0.02301691759494077
55,4001.0,105.0,30354.0,0.003459181656453845
56,4005.0,36.0,6914.0,0.005206826728377205
